"Ana_Id","Ana_Sam_Fdt_Id","Ana_Sam_Mrs_Container_Id_Desc","Ana_Sam_Mrs_Container_Id","Ana_Sam_Mrs_Lcc_Parm_Group_Cd","Ana_Received_Date","Ana_Sam_Lab_Num","Ana_Lab_Seq_Num","Ana_Value","Ana_Mdl","Ana_Pgc_Spc_Parameter_Code","Ana_Com_Code","Com_Description","Ana_Cas_Num","Ana_Parameter_Name","Ana_Qa_Flag","Ana_Chemist_Name","Ana_Chemist_Sign_Date","Ana_Cbp_Bound","Ana_Cbp_Stored_Date","Ana_Lab_Comment","Ana_Storet_Bound","Ana_Stored_Storet_Date","Ana_Inserted_Date","Ana_Inserted_By","Ana_Changed_Date","Ana_Changed_By","Ana_Valid_Value_Flag","Rep_Timestamp","Ana_Low_Value","Ana_Hi_Value","Ana_Tech_Procedure_Id","Ana_Uncensored_Value","Ana_Analysis_Start","Ana_Meth_Id","Me_Meth_Short_Name","Me_Meth_Long_Name","Me_Meth_Desc","Ana_Pql","Ana_Uncensored_Val_Comment","Uncensored_Val_Comment","Ana_Sam_Id","Ana_Pg_Id","Pg_Parm_Group_Code","Pg_Task_Holding_Hours","Pg_Parm_Name","Pg_Storet_Code","Pg_Lower_Detect_Limit","Pg_Measurement_Unit","Pg_Parm_Short_Name","Pg_Me_Lims_Meth_Id","Loaded_Date","Loaded_By","Fdt_Sta_Id","Fdt_Date_Time"
"1105145","197029","R",1,"99999",2001-01-12 00:00:00,"S88453","1",10,NA,"01042","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"COPPER, TOTAL (UG/L AS CU)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 12:19:34,"WQM_DBA",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,118182,466,"99999",NA,"COPPER, TOTAL (UG/L AS CU)","01042",NA,"ug/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1974-03-27 11:30:00
"1105162","197029","R",1,"99999",2001-01-12 00:00:00,"S88453","1",99.99,NA,"01065","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"NICKEL, DISSOLVED (UG/L AS NI)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 12:32:28,"WQM_DBA",NA,NA,NA,NA,NA,99.99,NA,NA,NA,NA,NA,NA,NA,NA,118182,3615,"99999",NA,"NICKEL, DISSOLVED (UG/L AS NI)","01065",NA,"ug/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1974-03-27 11:30:00
"1106604","198889","R",1,"99999",2001-01-12 00:00:00,"S90313","1",5,NA,"01002","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"ARSENIC, TOTAL (UG/L AS AS)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 12:04:33,"WQM_DBA",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,119915,3597,"99999",NA,"ARSENIC, TOTAL (UG/L AS AS)","01002",NA,"ug/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1971-04-04 13:20:00
"1106614","198889","R",1,"99999",2001-01-12 00:00:00,"S90313","1",10,NA,"01051","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"LEAD, TOTAL (UG/L AS PB)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 12:24:50,"WQM_DBA",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,119915,3340,"99999",NA,"LEAD, TOTAL (UG/L AS PB)","01051",NA,"ug/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1971-04-04 13:20:00
"1106613","198889","R",1,"99999",2001-01-12 00:00:00,"S90313","1",215,NA,"00060",NA,NA,NA,"FLOW, STREAM, MEAN DAILY",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 09:57:06,"WQM_DBA",NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,119915,3708,"99999",NA,"FLOW, STREAM, MEAN DAILY CFS","00060",NA,"cfs",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1971-04-04 13:20:00
"1107647","200158","R",1,"99999",2001-01-12 00:00:00,"S91582","1",0.9,NA,"00620",NA,NA,NA,"NITRATE, TOTAL (MG/L AS N)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 11:17:54,"WQM_DBA",NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,121164,3527,"99999",NA,"NITRATE NITROGEN, TOTAL (MG/L AS N)","00620",NA,"mg/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1975-04-09 11:45:00
"1109631","202466","R",1,"99999",2001-01-12 00:00:00,"S93890","1",0.15,NA,"00620",NA,NA,NA,"NITRATE, TOTAL (MG/L AS N)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 11:17:54,"WQM_DBA",NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,123464,3527,"99999",NA,"NITRATE NITROGEN, TOTAL (MG/L AS N)","00620",NA,"mg/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1974-04-18 15:15:00
"1109615","202466","R",1,"99999",2001-01-12 00:00:00,"S93890","1",100,NA,"31616","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"FECAL COLIFORM (MPN-FCBR/100 ML)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 13:24:17,"WQM_DBA",NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,123464,3356,"99999",NA,"FECAL COLIFORM,MEMBR FILTER,M-FC BROTH,44.5 C","31616",NA,"cfu/100ml",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1974-04-18 15:15:00
"1113095","206104","R",1,"99999",2001-01-12 00:00:00,"S97528","1",0.37,NA,"00620",NA,NA,NA,"NITRATE, TOTAL (MG/L AS N)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 11:17:54,"WQM_DBA",NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,127032,3527,"99999",NA,"NITRATE NITROGEN, TOTAL (MG/L AS N)","00620",NA,"mg/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1974-05-02 12:00:00
"1113894","206915","R",1,"99999",2001-01-12 00:00:00,"S98339","1",0.01,NA,"00615","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"NITRITE, TOTAL (MG/L AS N)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 11:11:29,"WQM_DBA",NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,127809,3524,"99999",NA,"NITRITE NITROGEN, TOTAL (MG/L AS N)","00615",NA,"mg/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1975-05-05 10:45:00
